Model,R²,RMSE,MAE,Accuracy,Precision,Recall,F1,AUC
XGBoost,0.7853183150291443,4.831218629564933,3.6211984157562256,0.8333333333333334,1.0,0.3333333333333333,0.5,0.9629629629629629
Stacking,0.7823302158331198,4.864724313386597,3.4652175895778954,0.8333333333333334,1.0,0.3333333333333333,0.5,0.9629629629629629
RandomForest,0.6903543896908533,5.802185696284346,3.947291666666667,0.8333333333333334,1.0,0.3333333333333333,0.5,0.9629629629629629
