Month,Actual,Predicted
2019-06,12,11.999688
2019-06,4,3.9999979
2019-06,2,2.0000343
2019-06,3,3.0000074
2019-06,10,9.99978
2019-06,6,5.9999456
2019-06,8,7.9998355
2019-06,8,7.9998355
2019-06,2,2.0000343
2019-06,4,3.9999979
2019-06,1,1.0000943
2019-06,2,2.0000343
2019-06,8,7.9998355
2019-06,2,2.0000343
2019-06,7,6.9998827
2019-06,4,3.9999979
2019-06,5,4.9999757
2019-06,4,3.9999979
2019-06,3,3.0000074
2019-07,21,20.974018
2019-07,5,4.9999757
2019-07,1,1.0000943
2019-07,7,6.9998827
2019-07,9,8.999813
2019-07,24,23.886995
2019-07,11,10.999747
2019-07,9,8.999813
2019-07,4,3.9999979
2019-07,3,3.0000074
2019-07,4,3.9999979
2019-07,6,5.9999456
2019-07,8,7.9998355
2019-07,13,12.999597
2019-07,11,10.999747
2019-07,8,7.9998355
2019-07,3,3.0000074
2019-07,5,4.9999757
2019-07,1,1.0000943
2019-07,11,10.999747
2019-07,6,5.9999456
2019-07,7,6.9998827
2019-07,13,12.999597
2019-07,15,14.999403
2019-07,9,8.999813
2019-07,12,11.999688
2019-07,10,9.99978
2019-07,10,9.99978
2019-07,13,12.999597
2019-07,5,4.9999757
2019-08,8,7.9998355
2019-08,12,11.999688
2019-08,1,1.0000943
2019-08,1,1.0000943
2019-08,5,4.9999757
2019-08,2,2.0000343
2019-08,6,5.9999456
2019-08,1,1.0000943
2019-08,2,2.0000343
2019-08,6,5.9999456
2019-08,11,10.999747
2019-08,2,2.0000343
2019-08,7,6.9998827
2019-08,12,11.999688
2019-08,2,2.0000343
2019-08,2,2.0000343
2019-08,6,5.9999456
2019-08,4,3.9999979
2019-08,5,4.9999757
2019-08,2,2.0000343
2019-08,3,3.0000074
2019-08,4,3.9999979
2019-08,2,2.0000343
2019-08,2,2.0000343
2019-08,8,7.9998355
2019-08,4,3.9999979
2019-08,1,1.0000943
2019-09,2,2.0000343
2019-09,3,3.0000074
2019-09,1,1.0000943
2019-09,2,2.0000343
2019-09,4,3.9999979
2019-09,3,3.0000074
2019-09,7,6.9998827
2019-09,2,2.0000343
2019-09,3,3.0000074
2019-09,4,3.9999979
2019-09,2,2.0000343
2019-09,5,4.9999757
2019-09,5,4.9999757
2019-09,1,1.0000943
2019-09,6,5.9999456
2019-09,4,3.9999979
2019-09,7,6.9998827
2019-09,2,2.0000343
2019-09,2,2.0000343
2019-09,2,2.0000343
2019-10,2,2.0000343
2019-10,3,3.0000074
2019-10,2,2.0000343
2019-10,2,2.0000343
2019-10,2,2.0000343
2019-10,2,2.0000343
2019-10,4,3.9999979
2019-10,1,1.0000943
2019-10,3,3.0000074
2019-10,1,1.0000943
2019-10,2,2.0000343
2019-10,2,2.0000343
2019-10,1,1.0000943
2019-10,3,3.0000074
2019-10,4,3.9999979
2019-10,3,3.0000074
2019-11,1,1.0000943
2019-11,1,1.0000943
2019-11,4,3.9999979
2019-11,1,1.0000943
2019-11,1,1.0000943
2019-11,2,2.0000343
2019-11,2,2.0000343
2019-11,6,5.9999456
2019-11,4,3.9999979
2019-11,2,2.0000343
2019-11,4,3.9999979
2019-11,2,2.0000343
2019-11,4,3.9999979
2019-11,2,2.0000343
2019-11,2,2.0000343
2019-11,1,1.0000943
2019-11,2,2.0000343
2019-12,2,2.0000343
2019-12,2,2.0000343
2019-12,1,1.0000943
2020-01,1,1.0000943
2020-02,1,1.0000943
2020-03,1,1.0000943
2020-03,1,1.0000943
2020-03,1,1.0000943
2020-03,1,1.0000943
2020-03,1,1.0000943
2020-03,1,1.0000943
2020-03,1,1.0000943
2020-03,1,1.0000943
2020-03,1,1.0000943
2020-03,1,1.0000943
2020-03,2,2.0000343
2020-04,1,1.0000943
2020-04,1,1.0000943
2020-04,1,1.0000943
2020-04,1,1.0000943
2020-04,1,1.0000943
2020-04,1,1.0000943
2020-04,3,3.0000074
2020-04,1,1.0000943
2020-04,2,2.0000343
2020-04,1,1.0000943
2020-05,1,1.0000943
2020-05,3,3.0000074
2020-05,2,2.0000343
2020-05,1,1.0000943
2020-05,1,1.0000943
2020-06,2,2.0000343
2020-06,1,1.0000943
2020-06,4,3.9999979
2020-06,5,4.9999757
2020-06,1,1.0000943
2020-06,2,2.0000343
2020-06,4,3.9999979
2020-06,3,3.0000074
2020-06,1,1.0000943
2020-06,2,2.0000343
2020-06,1,1.0000943
2020-06,3,3.0000074
2020-06,1,1.0000943
2020-06,2,2.0000343
2020-06,3,3.0000074
2020-06,4,3.9999979
2020-06,2,2.0000343
2020-06,2,2.0000343
2020-06,3,3.0000074
2020-06,2,2.0000343
2020-06,1,1.0000943
2020-07,3,3.0000074
2020-07,3,3.0000074
2020-07,2,2.0000343
2020-07,2,2.0000343
2020-07,6,5.9999456
2020-07,4,3.9999979
2020-07,1,1.0000943
2020-07,4,3.9999979
2020-07,2,2.0000343
2020-07,6,5.9999456
2020-07,6,5.9999456
2020-07,1,1.0000943
2020-07,2,2.0000343
2020-07,3,3.0000074
2020-07,2,2.0000343
2020-07,1,1.0000943
2020-07,2,2.0000343
2020-07,1,1.0000943
2020-07,5,4.9999757
2020-07,2,2.0000343
2020-07,1,1.0000943
2020-07,4,3.9999979
2020-07,3,3.0000074
2020-07,2,2.0000343
2020-07,3,3.0000074
2020-07,1,1.0000943
2020-07,3,3.0000074
2020-07,3,3.0000074
2020-08,1,1.0000943
2020-08,1,1.0000943
2020-08,1,1.0000943
2020-08,2,2.0000343
2020-08,2,2.0000343
2020-08,1,1.0000943
2020-08,1,1.0000943
2020-08,2,2.0000343
2020-08,1,1.0000943
2020-08,3,3.0000074
2020-08,3,3.0000074
2020-08,2,2.0000343
2020-08,3,3.0000074
2020-08,8,7.9998355
2020-08,4,3.9999979
2020-08,2,2.0000343
2020-08,5,4.9999757
2020-08,2,2.0000343
2020-08,1,1.0000943
2020-08,5,4.9999757
2020-08,3,3.0000074
2020-08,2,2.0000343
2020-08,2,2.0000343
2020-08,4,3.9999979
2020-08,8,7.9998355
2020-08,1,1.0000943
2020-09,1,1.0000943
2020-09,1,1.0000943
2020-09,1,1.0000943
2020-09,2,2.0000343
2020-09,1,1.0000943
2020-09,1,1.0000943
2020-10,1,1.0000943
2020-10,1,1.0000943
2020-10,1,1.0000943
2020-10,1,1.0000943
2020-10,1,1.0000943
2020-10,1,1.0000943
2020-11,1,1.0000943
2020-12,1,1.0000943
2021-01,1,1.0000943
2021-01,1,1.0000943
2021-03,1,1.0000943
2021-03,1,1.0000943
2021-03,1,1.0000943
2021-03,1,1.0000943
2021-05,1,1.0000943
2021-05,1,1.0000943
2021-05,1,1.0000943
2021-06,1,1.0000943
2021-06,1,1.0000943
2021-06,1,1.0000943
2021-07,1,1.0000943
2021-08,1,1.0000943
2021-09,1,1.0000943
2021-09,2,2.0000343
2021-09,1,1.0000943
2021-09,1,1.0000943
2021-10,1,1.0000943
2021-11,1,1.0000943
2021-11,1,1.0000943
2021-11,1,1.0000943
2021-12,1,1.0000943
2021-12,1,1.0000943
2022-02,1,1.0000943
2022-03,1,1.0000943
2022-03,2,2.0000343
2022-03,1,1.0000943
2022-03,1,1.0000943
2022-04,1,1.0000943
2022-04,1,1.0000943
2022-04,1,1.0000943
2022-04,1,1.0000943
2022-05,2,2.0000343
2022-05,2,2.0000343
2022-05,1,1.0000943
2022-05,1,1.0000943
2022-05,2,2.0000343
2022-05,1,1.0000943
2022-05,1,1.0000943
2022-05,1,1.0000943
2022-05,1,1.0000943
2022-05,1,1.0000943
2022-06,1,1.0000943
2022-06,1,1.0000943
2022-06,3,3.0000074
2022-06,5,4.9999757
2022-06,2,2.0000343
2022-06,1,1.0000943
2022-06,1,1.0000943
2022-06,2,2.0000343
2022-06,4,3.9999979
2022-06,1,1.0000943
2022-06,3,3.0000074
2022-06,1,1.0000943
2022-06,1,1.0000943
2022-07,1,1.0000943
2022-07,2,2.0000343
2022-07,1,1.0000943
2022-07,1,1.0000943
2022-07,1,1.0000943
2022-07,1,1.0000943
2022-07,1,1.0000943
2022-07,2,2.0000343
2022-07,1,1.0000943
2022-07,2,2.0000343
2022-08,2,2.0000343
2022-08,1,1.0000943
2022-08,1,1.0000943
2022-08,1,1.0000943
2022-08,3,3.0000074
2022-08,2,2.0000343
2022-08,1,1.0000943
2022-08,3,3.0000074
2022-08,1,1.0000943
2022-08,1,1.0000943
2022-09,1,1.0000943
2022-09,1,1.0000943
2022-09,1,1.0000943
2022-09,1,1.0000943
2022-09,1,1.0000943
2022-09,1,1.0000943
2022-09,1,1.0000943
